Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,1
2020-03-23,9
2020-03-24,9
2020-03-25,14
2020-03-26,14
2020-03-27,23
2020-03-28,30
2020-03-29,33
2020-03-30,33
2020-03-31,44
2020-04-01,44
2020-04-02,45
2020-04-03,48
2020-04-04,48
2020-04-05,52
2020-04-06,52
2020-04-07,52
2020-04-08,53
2020-04-09,53
2020-04-10,53
2020-04-11,49
2020-04-12,50
2020-04-13,47
2020-04-14,47
2020-04-15,43
2020-04-16,35
2020-04-17,35
2020-04-18,33
2020-04-19,27
2020-04-20,18
2020-04-21,23
2020-04-22,18
2020-04-23,28
2020-04-24,29
2020-04-25,29
2020-04-26,33
2020-04-27,32
2020-04-28,27
2020-04-29,29
2020-04-30,31
2020-05-01,33
2020-05-02,36
2020-05-03,37
2020-05-04,42
2020-05-05,43
2020-05-06,45
2020-05-07,46
2020-05-08,46
2020-05-09,61
