Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,3
2020-03-30,3
2020-03-31,4
2020-04-01,5
2020-04-02,11
2020-04-03,12
2020-04-04,13
2020-04-05,15
2020-04-06,19
2020-04-07,21
2020-04-08,24
2020-04-09,24
2020-04-10,24
2020-04-11,24
2020-04-12,25
2020-04-13,28
2020-04-14,31
2020-04-15,35
2020-04-16,36
2020-04-17,38
2020-04-18,38
2020-04-19,40
2020-04-20,40
2020-04-21,43
2020-04-22,44
2020-04-23,45
2020-04-24,46
2020-04-25,46
2020-04-26,49
2020-04-27,50
2020-04-28,50
2020-04-29,50
2020-04-30,52
2020-05-01,52
2020-05-02,53
2020-05-03,55
2020-05-04,55
2020-05-05,55
2020-05-06,55
2020-05-07,56
2020-05-08,56
2020-05-09,60
2020-05-10,60
2020-05-11,61
2020-05-12,61
2020-05-13,61
2020-05-14,62
2020-05-15,63
2020-05-16,63
2020-05-17,63
2020-05-18,64
2020-05-19,64
2020-05-20,64
2020-05-21,64
2020-05-22,64
2020-05-23,64
2020-05-24,64
2020-05-25,65
2020-05-26,65
2020-05-27,66
2020-05-28,66
2020-05-29,67
2020-05-30,67
2020-05-31,68
2020-06-01,68
2020-06-02,68
2020-06-03,69
2020-06-04,69
2020-06-05,69
2020-06-06,69
2020-06-07,69
2020-06-08,69
2020-06-09,69
2020-06-10,69
2020-06-11,69
2020-06-12,69
2020-06-13,69
2020-06-14,69
2020-06-15,69
2020-06-16,69
2020-06-17,69
2020-06-18,69
2020-06-19,69
2020-06-20,69
2020-06-21,69
2020-06-22,69
2020-06-23,69
2020-06-24,69
2020-06-25,69
2020-06-26,69
2020-06-27,69
