Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,1
2020-04-24,2
2020-04-25,2
2020-04-26,4
2020-04-27,4
2020-04-28,4
2020-04-29,4
2020-04-30,7
2020-05-01,7
2020-05-02,8
2020-05-03,8
2020-05-04,9
2020-05-05,11
2020-05-06,14
2020-05-07,16
2020-05-08,17
2020-05-09,18
2020-05-10,18
2020-05-11,19
2020-05-12,19
2020-05-13,26
2020-05-14,26
2020-05-15,27
2020-05-16,29
2020-05-17,32
2020-05-18,33
2020-05-19,33
2020-05-20,34
2020-05-21,35
2020-05-22,38
2020-05-23,39
2020-05-24,40
2020-05-25,42
2020-05-26,44
2020-05-27,45
2020-05-28,45
2020-05-29,45
2020-05-30,46
2020-05-31,46
2020-06-01,46
2020-06-02,46
2020-06-03,47
2020-06-04,47
2020-06-05,47
2020-06-06,48
2020-06-07,48
2020-06-08,49
2020-06-09,50
2020-06-10,50
2020-06-11,50
2020-06-12,51
2020-06-13,51
2020-06-14,51
2020-06-15,51
2020-06-16,51
2020-06-17,51
2020-06-18,51
2020-06-19,53
2020-06-20,53
2020-06-21,55
2020-06-22,55
2020-06-23,55
2020-06-24,56
2020-06-25,56
2020-06-26,59
2020-06-27,59
