Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,2
2020-03-15,3
2020-03-16,7
2020-03-17,8
2020-03-18,10
2020-03-19,11
2020-03-20,16
2020-03-21,20
2020-03-22,21
2020-03-23,27
2020-03-24,40
2020-03-25,62
2020-03-26,77
2020-03-27,105
2020-03-28,105
2020-03-29,110
2020-03-30,146
2020-03-31,180
2020-04-01,239
2020-04-02,308
2020-04-03,358
2020-04-04,373
2020-04-05,401
2020-04-06,477
2020-04-07,591
2020-04-08,687
2020-04-09,793
2020-04-10,870
2020-04-11,887
2020-04-12,899
2020-04-13,919
2020-04-14,1033
2020-04-15,1203
2020-04-16,1333
2020-04-17,1400
2020-04-18,1511
2020-04-19,1540
2020-04-20,1580
2020-04-21,1765
2020-04-22,1937
2020-04-23,2021
2020-04-24,2152
2020-04-25,2192
2020-04-26,2194
2020-04-27,2274
2020-04-28,2355
2020-04-29,2462
2020-04-30,2586
2020-05-01,2653
2020-05-02,2669
2020-05-03,2679
2020-05-04,2769
2020-05-05,2854
2020-05-06,2941
2020-05-07,3040
2020-05-08,3175
2020-05-09,3220
2020-05-10,3225
2020-05-11,3256
2020-05-12,3313
2020-05-13,3460
2020-05-14,3529
2020-05-15,3646
2020-05-16,3674
2020-05-17,3679
2020-05-18,3698
2020-05-19,3743
2020-05-20,3831
2020-05-21,3871
2020-05-22,3925
2020-05-23,3992
2020-05-24,3998
2020-05-25,4029
2020-05-26,4125
2020-05-27,4220
2020-05-28,4266
2020-05-29,4350
2020-05-30,4395
2020-05-31,4395
2020-06-01,4403
2020-06-02,4468
2020-06-03,4542
2020-06-04,4562
2020-06-05,4639
2020-06-06,4656
2020-06-07,4659
2020-06-08,4694
2020-06-09,4717
2020-06-10,4795
2020-06-11,4814
2020-06-12,4854
2020-06-13,4874
2020-06-14,4874
2020-06-15,4891
2020-06-16,4939
2020-06-17,5041
2020-06-18,5053
2020-06-19,5053
2020-06-20,5053
2020-06-21,5053
2020-06-22,5122
2020-06-23,5161
2020-06-24,5209
2020-06-25,5230
2020-06-26,5280
2020-06-27,5280
