Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,12
2020-03-16,29
2020-03-17,48
2020-03-18,56
2020-03-19,69
2020-03-20,84
2020-03-21,100
2020-03-22,112
2020-03-23,127
2020-03-24,154
2020-03-25,172
2020-03-26,212
2020-03-27,235
2020-03-28,246
2020-03-29,259
2020-03-30,268
2020-03-31,274
2020-04-01,278
2020-04-02,299
2020-04-03,310
2020-04-04,323
2020-04-05,345
2020-04-06,349
2020-04-07,353
2020-04-08,358
2020-04-09,372
2020-04-10,372
2020-04-11,381
2020-04-12,389
2020-04-13,391
2020-04-14,397
2020-04-15,401
2020-04-16,402
2020-04-17,407
2020-04-18,413
2020-04-19,417
2020-04-20,425
2020-04-21,428
2020-04-22,435
2020-04-23,437
2020-04-24,441
2020-04-25,444
2020-04-26,447
2020-04-27,449
2020-04-28,449
2020-04-29,451
2020-04-30,453
2020-05-01,459
2020-05-02,460
2020-05-03,461
2020-05-04,465
2020-05-05,471
2020-05-06,473
2020-05-07,494
2020-05-08,508
2020-05-09,522
2020-05-10,540
2020-05-11,562
2020-05-12,576
2020-05-13,582
