Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,2.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,3.0
2020-03-19,1.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,3.0
2020-03-24,2.0
2020-03-25,2.0
2020-03-26,0.0
2020-03-27,5.0
2020-03-28,4.0
2020-03-29,3.0
2020-03-30,6.0
2020-03-31,7.0
2020-04-01,5.0
2020-04-02,6.0
2020-04-03,9.0
2020-04-04,3.0
2020-04-05,9.0
2020-04-06,5.0
2020-04-07,13.0
2020-04-08,12.0
2020-04-09,7.0
2020-04-10,5.0
2020-04-11,6.0
2020-04-12,9.0
2020-04-13,6.0
2020-04-14,5.0
2020-04-15,11.0
2020-04-16,2.0
2020-04-17,9.0
2020-04-18,3.0
2020-04-19,1.0
2020-04-20,16.0
2020-04-21,1.0
2020-04-22,5.0
2020-04-23,7.0
2020-04-24,5.0
2020-04-25,2.0
2020-04-26,0.0
2020-04-27,4.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,3.0
2020-05-01,0.0
2020-05-02,1.0
2020-05-03,0.0
2020-05-04,3.0
2020-05-05,1.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,1.0
2020-05-09,1.0
2020-05-10,0.0
2020-05-11,5.0
2020-05-12,4.0
2020-05-13,1.0
2020-05-14,3.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,1.0
2020-05-19,0.0
2020-05-20,1.0
2020-05-21,1.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,1.0
2020-05-29,0.0
